ID,Text,Label,,,,,
20,gear disagree eicas msg. gear door caution msg. with nose gear indication showing hashed. maintenance message 32-51001.  flight crew belive nlg did not retract when commanded. aircraft subsequently dumped fuel and returned to lhr.,Yes,,,,,
21,"gear disagree message, left main did not retract after take off.  emergency declared. complied with fim 32-30-00-815-840-001 and found side brace lock actuator rod end pulled from actuator piston.  removed & replaced the side brace lock actuator on lt mlg iaw mm 32-32-02. ops checked good, no leaks noted.  swung gear iaw 32-32-00. ops normal.nature of condition:  warning indicationprecautionary procedure:  unsched landingpart name: rod endpart condition: failed",Yes,,,,,
22,"gear would not retract after takeoff per conversation with flight crew all systems showed aircraft as air return to the  gate ,  during debrief the crew reports gear not leaving the ground. acars never registered off ground times. level woul d not  move from the off position with several gear handle would not move past off position. attempts, captain also note d that acars did not report aircraft off the ground. electrical compt, none noted. 32-31-11,  had 28v at pin 4 of d232 b ut no ground at pin 3 with aircraft on jacks in the air mode. performed check on pseu on channels 503 and 504 for landin g gear on return to gate found no c/b''''s out/popped on either p11 or p6 when pseu was first tested,  had faults 012 and",Yes,,,,,
23,"on approach to runway 27 kmem, when landing gear  selected down, the left gear down green light did not illuminate. decl ared an emergency with kmem atc, made low pass to allow tower to visually  verify all gear normal. normal landing after   verifying gear down with tower. upon crew debrief found that the lt gear down switch light was burned out and would not  test. relamped lt gear down locked light iaw amm  33-13-00-2. light illuminated and ops checked good. as precaution vis ually inspected down lock sensors on main and nose gear, also performed bite test of  pseu and found no discrepancies ia w fim 32-09 ft804 fig 103. a/c has no 30 day history and is ok to continue service at this time.",Yes,,,,,
24,"on final approach placed the gear handle to down  position. received gear  disagree eicas. rt gear did not extend. accomplished alt gear ext chklst. right gear came down  normally. found nr 7 tire blewout cause damage of hydraulic lines near ceiling are above rt main landing gear. found r gear tilt pressure switch cannon plug broken. removed and replaced canon plug d3208 iaw swpm 20-61-11. removed and replaced 3 ea hydraulic lines that were damaged ipc ref 32-32-51-16 items 680,550, and 705. no other broken or damaged lines noted upon close inspection. perform main landing gear extension and retraction chk, ref amm 33-32-00 and ecra 3232-01115 ops chk good no fault noted.nature of condition:  warning indication, affect systemsprecautionary procedure:  aborted approachpart name: tirepart condition: blown",Yes,,,,,
25,"on final, selected gear down and received three greens. selected the gear handle up both mains went up and nose stayed down. received a gear disagree message,   on second final, selected gear down all three gear came down and three green.jacked aircraft iaw amm 07-11-01.  several circuit breakers pulled and collared for jacking iaw amm 32-09-02. wip 593093. cycled all gear up & down, all ops normal.  pinned mlg ran nose 10 times checked gear door actuator & gear retract actuator for overheat.  bypass. system ops normal & no overheat.  replaced the extend-retract actuator iaw amm 32-34.  removed and installed the nlg lock actuator, leak & ops checked iaw  amm 32-42-02.  performed ops test of mlg ext/ret iaw amnature of condition:  warning indicationprecautionary procedure:  aborted approachpart name: landing gearpart condition: malfunctioned",Yes,,,,,
26,"on gear up, an eicas  disagree,  ran qrh to three green no other messages,  and landed.  inspected the gear assembly.  f ound the nr 2 brake rod assembly broken in half and missing forward portion and brake pin assembly.  brake rotation with  hard line broken.   removed and replaced brake rod assembly iaw amm 32-11-20, and 32-41-06.  installed a new brake rod  pin iaw amm 32-11-20.  removed and replaced the nr 2 brake hose assembly iaw  amm 32-41-16. ops checked good, leak check ed good.",Yes,,,,,
27,"pdis  787     32-60  2346     13dec17  cae  open  u  logpages:2251493  during climbout upon landing gear retraction (l/ghandle in ""up"" position) received ""gear disagree""  eicas msg with associated ""gear"" discrete lt.  complied with qrh. at 5000 ft, 210 kias cycled l/g  down then up, no eicas, no unsafe indications.  removed & replaced nose gear retract actuator in                                  ref with fdx b757 amm 32-34-01-4. op`s & leakchecked good. op`s & leak of nose gear lock                                       actuator good also in ref with b757 amm 32-34-02-4.                               time checks of extension & retraction stillnature of condition:  warning indicationprecautionary procedure:  otherpart name: actuatorpart condition: inoperative",Yes,,,,,
28,"performed an air turn back due to crew reporting unable to retract left main landing gear with associated gear door and  gear disagree indications.  maintenance found a failed left main landing gear side brace actuator. replaced the actuator  and ops checked the landing gear, found  normal.",Yes,,,,,
29,"ship 1813 - atb - returned to jfki due to gear disagree and gear door eicas messages appeared after takeoff. complied wi th checklist, put the gear down and all indicators normal corrective action- replaced rt mlg restrictor valve and rt mlg  door safety valve. performed gear swing.",Yes,,,,,
30,"upon landing with main wheels on the gnd & prior to nose wheel touching gnd, experienced excessive shimmy.  several ceiling panel came down, 2 psu fell down & latches broke & two video monitor fell down & latches broke.  complied with amm 05-51-08-210-802, inspection 05-51-01-210-801.  r & r lt shimmy damper & bleed both iaw amm 32-11-81-401.  during mlg shimmy inspection, position of lt mlg torque link tapered sleeve & straight sleeve found to be reversed.  sleeves installedin correct position iaw amm 32-11-81-400-801.  sleeves, bushings & pin inspected ok.nature of condition:  vibration/buffetprecautionary procedure:  nonepart name: shimmy dampenerpart condition: unserviceable",Yes,,,,,
31,"placed landing gear handle down, had three red landing gear lights and gear door open light. performed alternate gear extension iaw qrh. was unable to stow alternate gear handle. landed with gear doors open. cw adj ck of alt. landing gear external ref md90 amm 32-31. rig pins r28, r29 fit good. insp alt gear handle lock release link, no trouble noted. verified rig p inertial navigation system r-26, r27 fit smooth for land gear control valve to landing gear handle. ops ck landing gear several times and indicator ations all normal. repalced left right main landing gear door skids. inspected landing gear selector - handle linkage for condition. all satisfactory. replaced landing gear switch per md90 amm 32-63. fails alternate gear extend procedure, nose gear does no",Yes,,,,,
32,"performed an air turn back due to crew reporting unable to retract left main landing gear with associated gear door and gear disagree indications. maintenance found a failed left main landing gear side brace actuator. replaced the actuator and operation check the landing gear, found normal.",Yes,,,,,
33,"on final, selected gear down and received three greens. selected the gear handle up both mains went up and nose stayed down. received a gear disagree message, on second final, selected gear down all three gear came down and three green. several circuit circuit-breaker pulled and collared for jacking iaw amm 32-09-02. wip 593093. cycled all gear up & down, all ops normal. pinned main landing gear ran nose 10 times checked gear door actuator & gear retract actuator for overheat. bypass. system ops normal & no overheat. replaced the extend retract actuator iaw amm 32-34. removed and installed the nose landing gear lock actuator, leak & operation check iaw amm 32-42-02. performed ops test of main landing gear external ret iaw am nature of condition : warning indication precautionary procedure : aborted approach part name : landing gear part condition : malfunctioned",Yes,,,,,
34,"lt gear unsafe light illuminated with the landing gear retracted. when the crew lowered the gear received 3 down and lo cked green indications. an emergency was declared for the return to departure. maintenance rigged both of the main landing gear door actuators, both of the main landing gear door latches, and adjusted both the main landing gear uplock sensors. operation check good and the aircraft has returned to service.",Yes,,,,,
35,"emergency declared. flight returned to departure due to a main landing gear indication. uneventful landing. removedand replaced main landing gear door closed sensors ; s10241 right main landing gear system 1, s10242 left main landing gear system 1, and s10072 right main landing gear system 2 iaw amm 32-61-02. operational checked good. aircraft was grounded. nature of condition : warning indication precautionary procedure : unsched landing part name : sensor part condition : faulty",Yes,,,,,
36,"emergency declared. flight returned to departure due to a main landing gear indication. uneventful landing. removedand replaced main landing gear door closed sensors s10241, right main landing gear system 1, s10242 left main landing gear system 1, and s10072 right main landing gear system 2, iaw amm 32-61-02. operational checked good. aircraft was grounded. nature of condition : warning indication precautionary procedure : unsched landing part name : sensor part condition : faulty",Yes,,,,,
37,"aircrat was grounded, landing gear would not retract, crew confirmed manual extension door was closed and cycled gear handle and landing gears retracted. aircraft returned to departure, landed safely without further incident. no emergency was declared. removed, and replaced the landing gear control lever module and accomplished landing gear swing.",Yes,,,,,
38,aircraft landed with left main landing gear retracted at lax,Yes,,,,,
39,"emergency declared. mia uvf flight returned to mia account main landing gear indication. uneventful landing. removedand replaced main landing gear door closed sensors ; s10241 right main landing gear system, s10242 left main landing gear system 1, and s10072 right main landing gear system 2 iaw amm 32-61-02. operational checked good. aircraft was grounded. nature of condition : warning indication precautionary procedure : unsched landing part name : sensor part condition : faulty",Yes,,,,,
40,"aircraft not grounded : after takeoff and landing gear retracted - in the process of placing the landing gear handle in the off postion the red landing gear in transit lts illuminated and the gear began to extend. placed gear handle to up posistion before the gear fully exten erd max speed during the event was 250kts. performed inspection iaw mm 055147, no damage found. ok for service.",Yes,,,,,
41,"ship 1813 - air turn back - returned to jf ki due to gear disagree and gear door eicas messages appeared after takeoff. complied with checklist, put the gear down and all indicators normal corrective action - replaced right main landing gear restrictor valve and right main landing gear door safety valve. performed gear swing.",Yes,,,,,
42,"after the gear was raised after takeoff, a red right gear light-remained illuminated. on return to landing, all gear left ights indicated green with handle lowered. aircraft grounded. air turn back. removed and replaced the right main landing gear uplock actuator iaw amm 32-32-41. accomplished main landing gear uplock actuator leak test for right main landing gear. operation check good iaw amm 32 - 32-40-400-801, step 3g no leaks noted.",Yes,,,,,
43,"after takeoff msgs lt main landing gear gear disagree gear doors eicas cpt reported that the nose and right main landing gear showed up and lock. the leading edge ft did not show up and lock. ac taxi in with left main landing gear door down only, red unsafe lt illuminated. initial inspection found the landing gr door close circuit-breaker on the p34 tripped every time and main landing gear doors would not close. troubleshot per wdm 32-35-11 and found the left main landing gear door safety valve at fault. right & right lt main landing gear door safety valve per amm 32-35-10, ops and panel open. closed circuit-breaker and jacked aircraft to perform gear swing. circuit-breaker rotable parts change was indicated - tt 1365204 sn off 0039 valve, main landing gear, saf off 64-3235-9-9002 0039 on 64-3235-9-9002 0049 leak ck good. performed multiple gear swings, all cks good.",Yes,,,,,
44,"gear disagree eicas message. noted by flight crew that nose gear indication remained dashed out. nose landing gear never indicated up. replaced door operated sequence valve, gear operated sequence valve, primary lock sensor, and nose landing gear retract actuator. performed landing retraction test. all tests passed. nature of condition : warning indication precautionary procedure : unsched landing part name : actuator part condition : failed",Yes,,,,,
45,"on gear extension, lt main landing gear remained red and left gear light on upper panel was off. during, and leaving gear down, the left green light came on when applying some positive g-force. removed and replaced left main landing gear downlock actuator iaw amm 32-32-51. operational checked good. aircraft was grounded. nature of condition : warning indication precautionary procedure : other part name : actuator part condition : faulty",Yes,,,,,
46,landing gear unsafe. gear handle up. left gear unsafe in up position. ran qrh gear door light did not extinguish upon lo wering gear. completed procedure and landed in atl. no further issues. ran alternate gear extend performed per qrh. cw no go odi prevention main gear indication. found lt main landing gear door uplock arm loose. resecured adjustment ops ck good. replaced lt & right main landing gear door rubstrips. performed gear swing ops ck good. ok for service. ( lp5772912 ),Yes,,,,,
47,"sup - air turn back left gear indication remaining red with gear handle up. checked lt main landing gear up and latched per amm 32-6 1-00-820-804 checked good and sensor readed checked ok. removed and replaced lt main landing gear retract cylinder per amm 32-33-01, left eak and ops ck pending. removed and replaced main landing gear bungee per amm 321-33-02. leak and operation check pending ops and leak check good, ok for service. found lower brace link frozen to main landing gear strut. removed lower brace link per amm 32-13 - 05-000-801. found lower brace link grease passage clogged. installed lt main landing gear lower brace link per amm 32-13-05 ops and leak ok, also accomplished ops and leak check of main landing gear retract cylinder per amm 32-33-01 only ok for service.",Yes,,,,,
48,"pdis 787 32-60 2346 13dec17 cae open u log pages : 2251493 during climbout upon landing gear retraction ( landing gear handle in "" up "" position ) received "" gear disagree "" eicas message with associated "" gear "" discrete lt. complied with qrh. at 5000 ft, 210 knots indicated air speed cycled landing gear down then up, no eicas, no unsafe indications. removed & replaced nose gear retract actuator in ref with fdx b757 amm 32-34-01-4. op `s & leak checked good. op `s & leak of nose gear lock actuator good also in ref with b757 amm 32-34-02-4. time checks of extension & retraction still nature of condition : warning indication precautionary procedure : other part name : actuator part condition : inoperative",Yes,,,,,
49,"after takeoff, received lt lg main gear unsafe indication on primary and secondary gear retraction gear indication. ran qrh, gear primary or secondary lights illuminated w gear handle up checklist. lt main gear unsafe indication remained illuminated. dumped approximately 8500 lbs of fuel. diverted to klax after gear selected down for landing, received 3 green down & left ocked indications w no unsafe. emergency declared. checked landing gear door targets per amm 32-10-00-5. adjusted as needed. removed and replaced lt main gear retract cylinder per amm 32-31-01-4. operation check good removed and replaced lt main landing gear door actuator per amm 32-34-01-2. operation check and leak checks good.",Yes,,,,,
50,"landing gear disagree light inbound. when gear handle was put to off, gear disagree light went out and stayed out when handle was put back to up. removed and replaced nose landing gear lock actuator and lock actuator bolt iaw amm 32-34-02. adjusted the gaps on the nose landing gear uplock & downlock sensors iaw amm 32-61-03. operation check good. aircraft was grounded. nature of condition : warning indication precautionary procedure : none part name : bolt part condition : damaged",Yes,,,,,
51,"inspection type : sv, air turn back - after takeoff, after retraction had a gear disagree light, the landing gear disagree checklist returned to departure. no emergency was declared. adjusted the nose landing gear up and down lock sensors iaw amm 32-61-03-822-03 8. performed landing gear extension and retraction operational test iaw amm 32-32-02-705-003. all checked good.",Yes,,,,,
52,"landing gear disagree light inbound. when gear handle was put to off, gear disagree light went out and stayed out when handle was put back to up. removed and replaced nose landing gear lock actuator and lock actuator bolt iaw amm 32-34-02. adjusted the gaps on the nose landing gear uplock & downlock sensors iaw amm 32-61-03. operation check good. aircraft was grounded. nature of condition : warning indication precautionary procedure : other part name : sensor part condition : out of adjust",Yes,,,,,
53,"aircraft was grounded. during takeoff, number three tire on the right main landing gear blew. flight proceeded to san and landed without incident. removed and replaced nr 3 main landing gear tire and wheel assembly iaw amm 32-45-11. operational check good. ( closed ) nature of condition : other precautionary procedure : none part name : tire part condition : blown",Yes,,,,,
54,"gear handle jammed in up position. emergency gear extension performed landing with gear doors open. opened turtle shell for access to gear handle ( 542278 ). found gear handle in down position. performed detailed inspection of gear handle me chanism, no faults noted. checked all rig pin holes for alignment, no faults noted. swung gear numerous times with no is sues. mc & ta advised. removed and started to install landing gear control valve per md90 amm 32-31-01. completed installation of landing gear control valve ops and leak check ok. inspected cables and slanted panel, all fairleads ck. no signs of water or ice. ( 486835 ). replaced both gear door skid plates.",Yes,,,,,
55,"declared an emergency, due to the nose landing gear did not extend with lever. replaced nose landing gear sequence valve, gear did not extend during test. replaced nose landing gear lock actuator, inspected linkage cleaned flow control valve op checked normal.",Yes,,,,,
56,aircraft was grounded : air returned to dfw. on climbout raised lng gear left gear disagree indicator light ( red ) remained illuminated with gear handle in the up position. landing gear extends normally. emergency was declared. maintenance evaluated and serviced ; flight refueled and re departed. * supplemental action sect. 4 and 5 : removed and replaced left hand main landing gear retract actuator and transfer valve iaw amm 32-94-18 and 32-31-71.,Yes,,,,,
57,"captain reported high vibration during takeoff in mex on the left inboard outboard main landing gear. at cun, maintenance personnel performed the tire tread loss or tire burst conditional inspection iaw amm 05-51-54 and ground handling equipment hits airplane or part departs airplane conditional inspection iaw amm 05-51-59, detecting main landing gear wheel and tire pos ition 02 with thrown tread and damages on left flap inboard induced by main landing gear wheel and tire position 02. the wo ´ s 5443578, 5443224 and 5443356 were issued to repair the damages detected. the main landing gear wheel and tire positions 01 and 02 were replaced iaw amm 32-45-11 and left wing aft flap inboard was replaced iaw amm task 27-51-12-000-801 and amm 27-51-12, tested co",Yes,,,,,
58,landing green lights did not illum. when gear handle down. ran check list and got 3 green with emergency. external handle. stopper d on runway. mtc meet aircraft on runway. pinned gear and towed aircraft to gate. jacked aircraft iaw amm 07-11 swung gear 15 times. all in dication and oper. normal. remove and replace pseu per amm 32-61. checked rigging of landing gear cont. valve per amm 32-31 checked good. log 1075465. landing gear lever switch s1-89 per amm 32-62 cycled main landing gear several times. indication normal. ( lp# 5619120 ),Yes,,,,,
59,aircraft was grounded : pilot reports gear doors caution light on upon gear extension. maintenance retracted and extended the landing gear iaw amm 32-32-00 and found that the right down lock actuator and right gear door actuator was not working properly. removed and replaced the right gear lock actuator iaw amm 32-32-02. see sdr aala201904059010.,Yes,,,,,
60,"due verification flight due to lt main landing gear unsafe light. verification of landing gear operation fails. when gear handle selec trailing edge down down got 3 green and amber door light. periscope confirmed gear down and lt door open. slowed down to 180kts - door light goes out. after shutdown left door starts opening. found crack in inner door skin at actuator attach fitting. removed lt main landing gear door iaw md90 amm 32-10 ( 252122 ). installed new lt main landing gear door per md90 amm 32-10. performed gear swings, all gear indications normal per md90 amm 32-32 ( lp5772918 )",Yes,,,,,
61,"on takeoff we received a "" gear door open "" alert with gear handle in the up position. also a "" left gear unsafe "" red light was illuminated. no sounds or vibrations noted from the cockpit or cabin crew. checklist 14.7 & 14.8 were run while tal king to maintenance and flight operations. alternate landing gear extension procedures were not utilized. during the landing, sparks were noticed on runway so the aircraft was towed back. maintenance replaced the left main landing gear door per amm 32-14. jacked ac per amm 07-11 and a gear swing was performed per amm 32-30. all gear operations are normal at this time. ( lp #4845186 )",Yes,,,,,
62,"after takeoff, placed the landing gear lever to the off position. red nose gear light illuminated and a loud noise came from nose of the aircraft. could not determine if only nose gear doors or doors and gear came down. put handle in the up position and light went out and noise went away, passing 7000 and 250kts. the aircraft was grounded. maintenance right eplaced the nose landing gear lock actuator iaw amm 32-33-21.",Yes,,,,,
63,"air turn back - unsafe gear indication on right main gear after retraction. all three green indicated when selected down. found broken spring on right main landing gear up & latch pr fox sensor linkage assembly. removed and replaced broken spring per amm 32-61-02-400 - 801. security check okay, operation check pending. accomplished landing gear retraction check per amm 32-30-00, operation check good, all indications normal.",Yes,,,,,
64,lt main landing gear gear door has cracks on forward and aft frames near the door hinge attach points. replaced lt landing gear door.,Yes,,,,,
65,qc detected a crack while inspecting the left main gear and the work card is calling for a gear change. replaced left main landing gear strut,Yes,,,,,
66,inspection type : na * air turn back no emergency decld no emergency equipment used landed wout incident * landing gear would not retract after t o. gear handle would not move up. pan checklist right main landing gear still would not retract. ipc 32 37 02 01 605,Yes,,,,,
67,"after takeoff, the gear wouild not retract passed the off position. ran checklist, the gear remained down with door and disagree light luminated so we put the gear down, got normal indication and landed safely. right & right the lt main landing gear truck position actuator iaw amm 32-32-15-4, performed gear swings iaw amm 32-30-00-5-0. operation check normal, no leaks noted. nature of condition : warning indication precautionary procedure : unsched landing part name : actuator part condition : inoperative",Yes,,,,,
